Unnamed: 0,Unnamed: 0.1,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,pensais,thought
6,6,demande,request
7,7,mois,month
8,8,frère,brother
10,10,mettre,to put
11,11,aucun,no
12,12,laisse,leash
13,13,ville,city
14,14,chaque,each
15,15,arrivé,come
16,16,devrait,should
19,19,heures,hours
21,21,aucune,any
23,23,compris,understood
24,24,savais,knew
26,26,attention,Warning
27,27,voici,here is
28,28,affaire,case
30,30,type,type
31,31,leurs,their
34,34,yeux,eyes
35,35,dont,whose
36,36,trouve,find
37,37,perdu,lost
38,38,première,first
39,39,pouvoir,power
40,40,vieux,old
42,42,tiens,here
43,43,tellement,so much
44,44,point,point
47,47,devant,in front of
50,50,mis,placed
52,52,droit,law
53,53,aimerais,would like to
55,55,mari,husband
56,56,cause,cause
57,57,eau,water
58,58,attendez,Wait
59,59,parti,left
60,60,nouvelle,new
61,61,arrêter,Stop
62,62,terre,Earth
63,63,compte,account
64,64,loin,far
65,65,fin,end
66,67,chérie,sweetheart
67,68,gros,large
68,69,plutôt,rather
70,71,jouer,to play
71,72,bureau,office
